ChapterNumber,Title,WordCount,ApproxPages
1,Chapter 1,0,0.0
2,Harry Potter and the Methods of Rationality,124,0.4
3,Preface,138,0.5
4,"Author’s
introduction",375,1.2
5,"1. Harry
James Potter-Evans-Verres and the Methods of Rationality",2681,8.9
6,"2. Everything I Believe Is
False",1604,5.3
7,"3. Comparing Reality To Its
Alternatives",2006,6.7
8,"4. The Efficient Market
Hypothesis",1905,6.3
9,"5. The Fundamental Attribution
Error",3502,11.7
10,6. The Planning Fallacy,10348,34.5
11,7. Reciprocation,11485,38.3
12,8. Positive Bias,6229,20.8
13,"9. Self Awareness, Part I",2405,8.0
14,"10. Self Awareness, Part II",4074,13.6
15,"11. Omake Files I, II & III",2873,9.6
16,12. Impulse Control,4061,13.5
17,13. Asking the Wrong Questions,6984,23.3
18,"14. The Unknown and the
Unknowable",5226,17.4
19,15. Conscientiousness,3644,12.1
20,16. Lateral Thinking,6637,22.1
21,17. Locating the Hypothesis,13433,44.8
22,18. Dominance Hierarchies,9647,32.2
23,19. Delayed Gratification,8174,27.2
24,20. Bayes’s Theorem,6311,21.0
25,21. Rationalization,6725,22.4
26,"2. Harry
James Potter-Evans-Verres and the Professor’s Games",9113,30.4
27,23. Belief in Belief,7293,24.3
28,"24. Machiavellian
Intelligence Hypothesis",4621,15.4
29,"25. Hold Off on Proposing
Solutions",5606,18.7
30,26. Noticing Confusion,6055,20.2
31,27. Empathy,9500,31.7
32,28. Reductionism,8187,27.3
33,29. Egocentric Bias,6195,20.6
34,"30. Working in Groups, Part I",7857,26.2
35,"31. Working in Groups, Part II",1048,3.5
36,"32. Interlude: Personal
Financial Management",1461,4.9
37,"33. Coordination Problems, Part I",10325,34.4
38,"34. Coordination Problems,
Part II",4846,16.2
39,"35. Coordination Problems,
Part III",4777,15.9
40,36. Status Differentials,4780,15.9
41,"37. Interlude: Crossing the
Boundary",909,3.0
42,"3. Harry
James Potter-Evans-Verres and the Shadows of Death",2899,9.7
43,"39. Pretending to be Wise, Part I",8151,27.2
44,"40. Pretending to be Wise,
Part II",1686,5.6
45,41. Frontal Override,2418,8.1
46,42. Courage,3181,10.6
47,"43. Humanism, Part I",7346,24.5
48,"44. Humanism, Part II",1152,3.8
49,"45. Humanism, Part III",3483,11.6
50,"46. Humanism, Part IV",4165,13.9
51,47. Personhood Theory,12431,41.4
52,48. Utilitarian Priorities,3192,10.6
53,49. Prior Information,4711,15.7
54,50. Self Centeredness,3869,12.9
55,"51. The Stanford Prison
Experiment, Part I",3231,10.8
56,"52. The Stanford Prison
Experiment, Part II",3782,12.6
57,"53. The Stanford Prison
Experiment, Part III",1359,4.5
58,"54. The Stanford Prison
Experiment, Part IV",5744,19.1
59,"55. The Stanford Prison
Experiment, Part V",6583,21.9
60,"56. The
Stanford Prison Experiment, Part VI:Constrained Optimization",3685,12.3
61,"57. The
Stanford Prison Experiment, Part VII:Constrained Cognition",4363,14.5
62,"58. The
Stanford Prison Experiment, Part VIII:Constrained Cognition",4296,14.3
63,"59. The Stanford
Prison Experiment, Part IX:Curiosity",4632,15.4
64,"60. The Stanford Prison
Experiment, Part X",4158,13.9
65,"61. The
Stanford Prison Experiment, Part XI:Secrecy and Openness",6341,21.1
66,"62. The Stanford Prison
Experiment, Final",5355,17.9
67,"63. The Stanford Prison
Experiment, Aftermaths",14962,49.9
